seller_id,total_orders,delayed_orders,delay_rate_percent
06a2c3af7b3aee5d69171b0e14f0ee87,389,95,24.42
88460e8ebdecbfecb5f9601833981930,246,59,23.98
2c9e548be18521d1c43cde1c582c6de8,124,29,23.39
1ca7077d890b907f89be8c954a02686a,108,25,23.15
cd68562d3f44870c08922d380acae552,122,26,21.31
e5a3438891c0bfdb9394643f95273d8e,216,45,20.83
8160255418d5aaa7dbdc9f4c64ebda44,380,76,20.00
b2479f944e1b90cf8a5de1bbfde284d6,101,19,18.81
f7ba60f8c3f99e7ee4042fdef03b70c4,218,38,17.43
dd7ddc04e1b6c2c614352b383efe2d36,121,21,17.36
