seller_id,avg_rating,total_orders,total_revenue
1ca7077d890b907f89be8c954a02686a,2.20,114,13191.57
2eb70248d66e0e3ef83659f71b244378,2.72,198,41182.94
b2479f944e1b90cf8a5de1bbfde284d6,3.31,101,4673.53
7c67e1448b00f6e969d365cea6b010ab,3.34,976,186524.07
88460e8ebdecbfecb5f9601833981930,3.36,246,31320.4
710e3548e02bc1d2831dfc4f1b5b14d4,3.40,135,23869.12
897060da8b9a21f655304d50fd935913,3.41,313,22638.32
18a349e75d307f4b4cc646a691ed4216,3.43,118,8599.03
7040e82f899a04d1b434b795a43b4617,3.57,207,9198.9
1835b56ce799e6a4dc4eddc053f04066,3.59,420,33127.27
